# das  logc
0.1114	-4.367
0.3565	-4.082
0.4456	-4.139
0.5571	-4.044
0.6016	-3.797
0.6685	-3.607
0.8690	-3.398
1.002	-3.398
1.158	-3.588
1.292	-3.835
1.426	-3.968
1.559	-3.968
1.671	-3.930
1.782	-3.930
1.983	-4.044
2.206	-3.968
2.317	-3.987
2.428	-4.158
2.607	-4.348
2.807	-4.443
2.986	-4.481
3.075	-4.594
3.164	-4.613
3.320	-4.575
3.431	-4.632
3.520	-4.651
3.632	-4.727
3.743	-4.651
3.877	-4.651
3.966	-4.594
4.122	-4.613
4.389	-4.670
4.590	-4.613
4.724	-4.556
4.902	-4.518
5.058	-4.575
5.259	-4.670
5.370	-4.689
5.571	-4.746
6.038	-4.746
6.239	-4.746
6.506	-4.765
6.818	-4.860
7.041	-4.860
7.286	-4.879
7.398	-4.898
7.509	-4.898
7.866	-4.898

